==7685== NVPROF is profiling process 7685, command: ./upsCu sample640x426.ppm 200 120 100 0 15 1
==7685== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==7685== Profiling application: ./upsCu sample640x426.ppm 200 120 100 0 15 1
==7685== Profiling result:
==7685== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "NVIDIA Tegra X1 (0)"
    Kernel: getCutout(char*, char*, int, int, int, int, int)
          1                              inst_issued1   103069133   103069133   103069133   103069133
          1                              inst_issued2    24699483    24699483    24699483    24699483
          1                             inst_executed   152465625   152465625   152465625   152465625
          1                      thread_inst_executed  2704612500  2704612500  2704612500  2704612500
          1   not_predicated_off_thread_inst_executed  2569252500  2569252500  2569252500  2569252500
          1                               local_store           0           0           0           0
          1                                local_load           0           0           0           0
          1                               shared_load    18984375    18984375    18984375    18984375
          1                              shared_store      163125      163125      163125      163125
          1                           shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load      163125      163125      163125      163125
          1                              global_store       84375       84375       84375       84375
          1                          divergent_branch           0           0           0           0
          1                                    branch    14338125    14338125    14338125    14338125
          1                             active_cycles    49587091    49587091    49587091    49587091
          1                              active_warps  1483256332  1483256332  1483256332  1483256332
          1                               active_ctas    98702697    98702697    98702697    98702697
          1                           sm_cta_launched        5625        5625        5625        5625
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions    18984375    18984375    18984375    18984375
          1                    shared_st_transactions      163125      163125      163125      163125
    Kernel: scaleGPU(char*, char*, int, int, int, int)
          1                 tex0_cache_sector_queries       74917       74917       74917       74917
          1                 tex1_cache_sector_queries       74883       74883       74883       74883
          1                  tex0_cache_sector_misses       50915       50915       50915       50915
          1                  tex1_cache_sector_misses       50885       50885       50885       50885
          1              l2_subp0_write_sector_misses        7212        7212        7212        7212
          1              l2_subp1_write_sector_misses        7262        7262        7262        7262
          1               l2_subp0_read_sector_misses        4343        4343        4343        4343
          1               l2_subp1_read_sector_misses        4343        4343        4343        4343
          1          l2_subp0_read_tex_sector_queries        9554        9554        9554        9554
          1          l2_subp1_read_tex_sector_queries        9746        9746        9746        9746
          1         l2_subp0_write_tex_sector_queries       15110       15110       15110       15110
          1         l2_subp1_write_tex_sector_queries       15090       15090       15090       15090
          1             l2_subp0_read_tex_hit_sectors        9304        9304        9304        9304
          1             l2_subp1_read_tex_hit_sectors        9493        9493        9493        9493
          1            l2_subp0_write_tex_hit_sectors       15110       15110       15110       15110
          1            l2_subp1_write_tex_hit_sectors       15090       15090       15090       15090
          1        l2_subp0_total_read_sector_queries       13179       13179       13179       13179
          1        l2_subp1_total_read_sector_queries        9781        9781        9781        9781
          1       l2_subp0_total_write_sector_queries       15130       15130       15130       15130
          1       l2_subp1_total_write_sector_queries       15093       15093       15093       15093
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm      741608      741608      741608      741608
          1                             gld_inst_8bit      480000      480000      480000      480000
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit           0           0           0           0
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit      480000      480000      480000      480000
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit           0           0           0           0
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched       15008       15008       15008       15008
          1                              inst_issued0      151642      151642      151642      151642
          1                              inst_issued1     2580152     2580152     2580152     2580152
          1                              inst_issued2      225080      225080      225080      225080
          1                             inst_executed     3030120     3030120     3030120     3030120
          1                      thread_inst_executed    96963840    96963840    96963840    96963840
          1   not_predicated_off_thread_inst_executed    87525836    87525836    87525836    87525836
          1                               local_store           0           0           0           0
          1                                local_load           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                           shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load       15000       15000       15000       15000
          1                              global_store       15000       15000       15000       15000
          1                          divergent_branch           0           0           0           0
          1                                    branch       30008       30008       30008       30008
          1                             active_cycles      739979      739979      739979      739979
          1                              active_warps    43647052    43647052    43647052    43647052
          1                               active_ctas     1443824     1443824     1443824     1443824
          1                           sm_cta_launched         469         469         469         469
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0
