==7630== NVPROF is profiling process 7630, command: ./upsCu sample640x426.ppm 200 120 100 0 15 1
==7630== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==7630== Profiling application: ./upsCu sample640x426.ppm 200 120 100 0 15 1
==7630== Profiling result:
==7630== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"inst_issued2",3882,3882,3882,3882
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"inst_executed",72688,72688,72688,72688
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"thread_inst_executed",2325120,2325120,2325120,2325120
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"not_predicated_off_thread_inst_executed",2145318,2145318,2145318,2145318
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"local_store",0,0,0,0
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"local_load",0,0,0,0
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"shared_load",0,0,0,0
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"shared_store",0,0,0,0
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"shared_atom_cas",0,0,0,0
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"shared_atom",0,0,0,0
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"global_atom_cas",0,0,0,0
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"atom_count",0,0,0,0
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"gred_count",0,0,0,0
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"global_load",938,938,938,938
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"global_store",938,938,938,938
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"divergent_branch",0,0,0,0
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"branch",2858,2858,2858,2858
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"active_cycles",24429,24429,24429,24429
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"active_warps",1401800,1401800,1401800,1401800
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"active_ctas",45652,45652,45652,45652
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"sm_cta_launched",30,30,30,30
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"shared_ld_bank_conflict",0,0,0,0
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"shared_st_bank_conflict",0,0,0,0
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"shared_ld_transactions",0,0,0,0
"NVIDIA Tegra X1 (0)","getCutout(char*, char*, int, int, int, int, int)",1,"shared_st_transactions",0,0,0,0
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"tex0_cache_sector_queries",913534,913534,913534,913534
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"tex1_cache_sector_queries",913541,913541,913541,913541
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"tex0_cache_sector_misses",559164,559164,559164,559164
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"tex1_cache_sector_misses",559161,559161,559161,559161
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp0_write_sector_misses",22867,22867,22867,22867
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp1_write_sector_misses",22861,22861,22861,22861
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp0_read_sector_misses",171853,171853,171853,171853
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp1_read_sector_misses",171853,171853,171853,171853
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp0_read_tex_sector_queries",349650,349650,349650,349650
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp1_read_tex_sector_queries",348675,348675,348675,348675
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp0_write_tex_sector_queries",112370,112370,112370,112370
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp1_write_tex_sector_queries",113745,113745,113745,113745
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp0_read_tex_hit_sectors",334929,334929,334929,334929
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp1_read_tex_hit_sectors",333992,333992,333992,333992
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp0_write_tex_hit_sectors",112370,112370,112370,112370
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp1_write_tex_hit_sectors",113745,113745,113745,113745
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp0_total_read_sector_queries",497869,497869,497869,497869
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp1_total_read_sector_queries",348696,348696,348696,348696
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp0_total_write_sector_queries",112380,112380,112380,112380
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp1_total_write_sector_queries",113758,113758,113758,113758
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp0_read_sysmem_sector_queries",0,0,0,0
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp1_read_sysmem_sector_queries",0,0,0,0
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp0_write_sysmem_sector_queries",0,0,0,0
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"l2_subp1_write_sysmem_sector_queries",0,0,0,0
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"elapsed_cycles_sm",49588079,49588079,49588079,49588079
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"gld_inst_8bit",5062500,5062500,5062500,5062500
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"gld_inst_16bit",0,0,0,0
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"gld_inst_32bit",0,0,0,0
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"gld_inst_64bit",0,0,0,0
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"gld_inst_128bit",0,0,0,0
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"gst_inst_8bit",1440000,1440000,1440000,1440000
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"gst_inst_16bit",0,0,0,0
"NVIDIA Tegra X1 (0)","convGPU(char const *, char*, int, int, int, int, int)",1,"gst_inst_32bit",0,0,0,0
